Identifier (RIC),Company Name,Exchange Name,Market Cap,IPO Date,Ticker Symbol,Trading Symbol,"Price Close
(USD)"
CIEN.N,Ciena Corporation,New York Stock Exchange,"57,191,627,075.66",01/02/1997,CIEN,CIEN,404.03
CINF.OQ,Cincinnati Financial Corporation,Nasdaq Stock Exchange Global Select Market,"26,456,545,397.10",17/03/1980,CINF,CINF,172.38
CNK.N,Cinemark Holdings Inc,New York Stock Exchange,"4,300,329,820.50",24/04/2007,CNK,CNK,37.10
CTAS.OQ,Cintas Corporation,Nasdaq Stock Exchange Global Select Market,"82,346,892,262.58",01/01/1983,CTAS,CTAS,205.78
CRUS.OQ,"Cirrus Logic, Inc.",Nasdaq Stock Exchange Global Select Market,"5,529,971,680.74",09/06/1989,CRUS,CRUS,110.34
CSCO.OQ,Cisco Systems Inc,Nasdaq Stock Exchange Global Select Market,"442,859,598,959.40",16/02/1990,CSCO,CSCO,112.36
CTRN.OQ,Citi Trends Inc,Nasdaq Stock Exchange Global Select Market,"575,509,198.32",18/05/2005,CTRN,CTRN,69.09
C.N,Citigroup Inc,New York Stock Exchange,"224,038,456,737.48",30/10/1986,C,C,133.56
CFG.N,Citizens Financial Group Inc,New York Stock Exchange,"29,688,751,786.12",24/09/2014,CFG,CFG,70.49
CIA.N,Citizens Inc,New York Stock Exchange,"199,027,414.44",04/12/1980,CIA,CIA,3.93
CHCO.OQ,City Holding Co,Nasdaq Stock Exchange Global Select Market,"2,032,053,748.80",26/06/1987,CHCO,CHCO,144.68
CVEO.N,Civeo Corp,New York Stock Exchange,"344,734,247.65",19/05/2014,CVEO,CVEO,33.35
CLAR.OQ,Clarus Corp,Nasdaq Stock Exchange Global Select Market,"142,814,818.15",27/05/1998,CLAR,CLAR,3.73
CLNE.OQ,Clean Energy Fuels Corp.,Nasdaq Stock Exchange Global Select Market,"357,120,924.30",25/05/2007,CLNE,CLNE,1.62
CLH.N,Clean Harbors Inc,New York Stock Exchange,"16,557,776,080.16",24/11/1987,CLH,CLH,313.67
CCO.N,Clear Channel Outdoor Holdings Inc,New York Stock Exchange,"1,221,825,228.00",11/11/2005,CCO,CCO,2.40
EMO.N,Clearbridge Energy Midstream Opportunity Fund Inc,New York Stock Exchange,"1,099,403,461.11",05/04/2011,EMO,EMO,54.93
CLW.N,Clearwater Paper Corp,New York Stock Exchange,"344,327,761.40",05/12/2008,CLW,CLW,21.35
CLF.N,Cleveland-Cliffs Inc,New York Stock Exchange,"6,584,032,142.38",27/07/1960,CLF,CLF,11.54
CLPR.N,Clipper Realty Inc.,New York Stock Exchange,"54,289,421.76",04/11/2015,CLPR,CLPR,3.36
CME.OQ,CME Group Inc.,Nasdaq Stock Exchange Global Select Market,"101,033,699,602.50",06/12/2002,CME,CME,280.98
CMS.N,CMS Energy Corporation,New York Stock Exchange,"21,708,945,125.28",03/02/1947,CMS,CMS,69.23
CNA.N,CNA Financial Corp,New York Stock Exchange,"13,381,215,889.60",22/05/1981,CNA,CNA,49.45
CCNE.OQ,CNB Financial Corp,Nasdaq Stock Exchange Global Select Market,"1,003,555,583.80",16/03/1994,CCNE,CCNE,33.88
CNH.N,CNH Industrial N.V.,New York Stock Exchange,"14,382,375,631.96",30/09/2013,CNH,CNH,11.62
CNO.N,"CNO Financial Group, Inc.",New York Stock Exchange,"5,063,694,634.83",15/11/1985,CNO,CNO,54.73
CNX.N,CNX Resources Corporation,New York Stock Exchange,"5,334,847,550.22",30/04/1999,CNX,CNX,36.06
KO.N,Coca-Cola Co,New York Stock Exchange,"387,573,635,809.44",26/01/1950,KO,KO,89.06
COKE.OQ,Coca-Cola Consolidated Inc,Nasdaq Stock Exchange Global Select Market,"12,914,804,321.88",10/05/1972,COKE,COKE,194.02
CCEP.OQ,Coca-Cola Europacific Partners PLC,Nasdaq Stock Exchange Global Select Market,"48,198,432,880.71",24/11/1986,CCEP,CCEP,108.99
CDXS.OQ,"Codexis, Inc.",Nasdaq Stock Exchange Global Select Market,"180,684,512.25",22/04/2010,CDXS,CDXS,1.65
CDE.N,"Coeur Mining, Inc.",New York Stock Exchange,"22,038,926,357.12",17/03/1980,CDE,CDE,21.44
CCOI.OQ,Cogent Communications Holdings Inc,Nasdaq Stock Exchange Global Select Market,"514,718,146.80",05/02/2002,CCOI,CCOI,10.05
CGNX.OQ,Cognex Corporation,Nasdaq Stock Exchange Global Select Market,"10,382,775,528.24",20/07/1989,CGNX,CGNX,61.72
CTSH.OQ,Cognizant Technology Solutions Corporation,Nasdaq Stock Exchange Global Select Market,"27,968,080,936.81",24/06/1998,CTSH,CTSH,62.09
FOF.N,Cohen & Steers Closed End Opportunity Fund Inc,New York Stock Exchange,"375,885,602.73",21/11/2006,FOF,FOF,13.53
CNS.N,Cohen & Steers Inc,New York Stock Exchange,"4,284,956,344.89",13/08/2004,CNS,CNS,83.33
UTF.N,Cohen & Steers Infrastructure Fund Inc,New York Stock Exchange,"3,053,530,362.63",26/03/2004,UTF,UTF,27.21
LDP.N,Cohen & Steers Ltd Duration Preferred & Income Fund Inc,New York Stock Exchange,"600,195,121.44",27/07/2012,LDP,LDP,20.68
RQI.N,Cohen & Steers Quality Income Realty Fund Inc,New York Stock Exchange,"1,668,294,058.71",26/02/2002,RQI,RQI,12.33
RNP.N,Cohen & Steers REIT and Preferred and Income Fund Inc,New York Stock Exchange,"984,001,619.50",25/06/2003,RNP,RNP,20.30
PSF.N,Cohen & Steers Select Preferred and Income Fund Inc,New York Stock Exchange,"233,707,673.41",24/11/2010,PSF,PSF,19.41
RFI.N,Cohen & Steers Total Return Realty Fund Inc,New York Stock Exchange,"305,213,392.40",17/09/1993,RFI,RFI,11.38
COHR.N,Coherent Corp.,New York Stock Exchange,"57,647,138,255.02",13/10/1987,COHR,COHR,294.37
COHU.OQ,"Cohu, Inc.",Nasdaq Stock Exchange Global Select Market,"2,417,100,388.98",16/01/1964,COHU,COHU,51.06
CL.N,Colgate-Palmolive Company,New York Stock Exchange,"73,387,730,637.74",31/03/1930,CL,CL,92.06
COLL.OQ,Collegium Pharmaceutical Inc,Nasdaq Stock Exchange Global Select Market,"895,604,913.63",07/05/2015,COLL,COLL,27.51
CBAN.N,Colony Bankcorp Inc,New York Stock Exchange,"449,247,829.05",16/09/1958,CBAN,CBAN,21.17
COLB.OQ,Columbia Banking System Inc,Nasdaq Stock Exchange Global Select Market,"8,687,928,650.28",16/06/1992,COLB,COLB,30.71
STK.N,Columbia Seligman Premium Technology Growth Fund Inc,New York Stock Exchange,"920,005,334.64",25/11/2009,STK,STK,52.57
COLM.OQ,Columbia Sportswear Company,Nasdaq Stock Exchange Global Select Market,"2,977,396,163.04",01/01/1998,COLM,COLM,58.16
CMCO.OQ,Columbus McKinnon Corp,Nasdaq Stock Exchange Global Select Market,"518,979,107.12",22/02/1996,CMCO,CMCO,17.98
CMCSA.OQ,Comcast Corporation,Nasdaq Stock Exchange Global Select Market,"96,522,914,785.60",29/06/1972,CMCSA,CMCSA,27.20
CCZ.N,Comcast Holdings Corp,New York Stock Exchange,"60,712,293,684.23",24/11/1999,CCZ,CCZ,66.45
FIX.N,"Comfort Systems USA, Inc.",New York Stock Exchange,"56,863,125,422.01",27/06/1997,FIX,FIX,"1,615.69"
CBSH.OQ,"Commerce Bancshares, Inc.",Nasdaq Stock Exchange Global Select Market,"8,390,782,413.00",17/03/1980,CBSH,CBSH,58.50
CMC.N,Commercial Metals Co,New York Stock Exchange,"7,567,810,757.35",22/05/1981,CMC,CMC,68.41
CVGI.OQ,Commercial Vehicle Group Inc,Nasdaq Stock Exchange Global Select Market,"124,336,006.92",05/08/2004,CVGI,CVGI,3.06
CBU.N,Community Financial System Inc,New York Stock Exchange,"3,323,220,559.80",26/11/1985,CBU,CBU,63.16
CYH.N,Community Health Systems Inc,New York Stock Exchange,"411,747,322.44",07/03/1991,CYH,CYH,2.92
CHCT.N,Community Healthcare Trust Inc,New York Stock Exchange,"428,088,399.48",21/05/2015,CHCT,CHCT,14.94
CTBI.OQ,"Community Trust Bancorp, Inc.",Nasdaq Stock Exchange Global Select Market,"1,384,761,453.88",29/12/1987,CTBI,CTBI,76.22
CVLT.OQ,"Commvault Systems, Inc.",Nasdaq Stock Exchange Global Select Market,"5,566,419,390.84",22/09/2006,CVLT,CVLT,134.31
CODI.N,Compass Diversified Holdings,New York Stock Exchange,"856,185,293.08",11/05/2006,CODI,CODI,11.38
CMP.N,"Compass Minerals International, Inc.",New York Stock Exchange,"1,034,828,544.10",12/12/2003,CMP,CMP,24.65
SCOR.OQ,Comscore Inc,Nasdaq Stock Exchange Global Select Market,"79,565,868.24",27/06/2007,SCOR,SCOR,5.24
CRK.N,"Comstock Resources, Inc.",New York Stock Exchange,"4,257,497,946.00",17/12/1996,CRK,CRK,14.50
CMTL.OQ,Comtech Telecommunications Corp,Nasdaq Stock Exchange Global Select Market,"52,732,118.56",20/03/1972,CMTL,CMTL,1.76
CAG.N,"Conagra Brands, Inc.",New York Stock Exchange,"7,772,294,783.99",09/01/1973,CAG,CAG,16.19
CCM.N,Concord Medical Services Holdings Ltd,New York Stock Exchange,"21,534,946.08",11/12/2009,CCM,CCM,4.96
CNMD.N,Conmed Corp,New York Stock Exchange,"1,511,938,999.04",23/07/1987,CNMD,CNMD,50.48
CNOB.OQ,"ConnectOne Bancorp, Inc.",Nasdaq Stock Exchange Global Select Market,"1,608,725,029.04",27/10/1993,CNOB,CNOB,31.97
COP.N,ConocoPhillips,New York Stock Exchange,"156,906,688,132.19",17/03/1980,COP,COP,130.61
ED.N,"Consolidated Edison, Inc.",New York Stock Exchange,"39,959,983,795.65",21/06/1948,ED,ED,108.05
CWCO.OQ,Consolidated Water Co Ltd,Nasdaq Stock Exchange Global Select Market,"481,026,464.60",15/12/1994,CWCO,CWCO,30.04
STZ.N,"Constellation Brands, Inc.",New York Stock Exchange,"22,961,160,451.30",07/07/1986,STZ,STZ,131.43
CSTM.N,Constellium SE,New York Stock Exchange,"3,683,643,647.04",23/05/2013,CSTM,CSTM,27.18
CMS_pb.N,Consumers Energy Co,New York Stock Exchange,"28,631,646.04",17/03/1980,CMS PR B,CMS PRB,76.73
CPS.N,Cooper-Standard Holdings Inc.,New York Stock Exchange,"471,594,780.32",27/05/2010,CPS,CPS,26.54
CPA.N,"Copa Holdings, S.A.",New York Stock Exchange,"5,407,348,964.81",15/12/2005,CPA,CPA,132.47
CPRT.OQ,Copart Inc,Nasdaq Stock Exchange Global Select Market,"30,246,261,116.94",17/03/1994,CPRT,CPRT,32.67
CDP.N,COPT Defense Properties,New York Stock Exchange,"4,232,478,292.56",31/12/1991,CDP,CDP,37.32
CXW.N,"CoreCivic, Inc.",New York Stock Exchange,"3,361,389,691.11",02/10/1986,CXW,CXW,33.99
GLW.N,Corning Incorporated,New York Stock Exchange,"131,602,909,210.18",21/05/1945,GLW,GLW,152.78
CPAY.N,"Corpay, Inc.",New York Stock Exchange,"26,718,860,621.07",15/12/2010,CPAY,CPAY,406.93
CRVL.OQ,CorVel Corporation,Nasdaq Stock Exchange Global Select Market,"3,554,345,935.56",28/06/1991,CRVL,CRVL,70.36
CMRE.N,Costamare Inc.,New York Stock Exchange,"1,794,046,287.88",04/11/2010,CMRE,CMRE,14.84
CSGP.OQ,"CoStar Group, Inc.",Nasdaq Stock Exchange Global Select Market,"13,023,050,478.32",01/07/1998,CSGP,CSGP,32.14
COST.OQ,Costco Wholesale Corp,Nasdaq Stock Exchange Global Select Market,"424,018,954,080.48",05/12/1985,COST,COST,956.12
COTY.N,Coty Inc,New York Stock Exchange,"2,413,080,911.36",13/06/2013,COTY,COTY,2.74
CUZ.N,Cousins Properties Inc,New York Stock Exchange,"4,872,220,916.80",17/03/1980,CUZ,CUZ,29.60
CVLG.N,Covenant Logistics Group Inc,New York Stock Exchange,"901,926,230.12",28/10/1994,CVLG,CVLG,35.54
CVSA.N,Covista Inc.,New York Stock Exchange,"4,689,868,619.60",14/11/1995,CVSA,CVSA,137.78
CRAI.OQ,CRA International Inc,Nasdaq Stock Exchange Global Select Market,"1,071,397,233.40",24/04/1998,CRAI,CRAI,170.69
CBRL.OQ,Cracker Barrel Old Country Store Inc,Nasdaq Stock Exchange Global Select Market,"1,308,789,740.30",05/11/1981,CBRL,CBRL,58.56
CXT.N,"Crane NXT, Co.",New York Stock Exchange,"2,914,904,434.56",26/10/1936,CXT,CXT,50.64
CRDb.N,Crawford & Co,New York Stock Exchange,"597,799,366.23",30/10/1989,CRD.B,CRD B,11.91
BAP.N,Credicorp Ltd,New York Stock Exchange,"30,381,920,926.35",25/10/1995,BAP,BAP,382.55
CACC.OQ,Credit Acceptance Corp,Nasdaq Stock Exchange Global Select Market,"6,162,327,511.20",05/06/1992,CACC,CACC,593.64
CRH.N,CRH PLC,New York Stock Exchange,"64,565,861,792.55",05/02/1973,CRH,CRH,97.05
CRTO.OQ,Criteo SA (Pre-Reincorporation),Nasdaq Stock Exchange Global Select Market,"831,488,576.23",30/10/2013,CRTO,CRTO,16.97
CROX.OQ,"Crocs, Inc.",Nasdaq Stock Exchange Global Select Market,"5,927,929,073.00",08/02/2006,CROX,CROX,123.64
CRT.N,Cross Timbers Royalty Trust,New York Stock Exchange,"62,940,000.00",28/02/1992,CRT,CRT,10.49
CAPL.N,Crossamerica Partners LP,New York Stock Exchange,"889,055,108.95",25/10/2012,CAPL,CAPL,23.29
CCI.N,Crown Castle Inc,New York Stock Exchange,"32,138,903,862.06",18/08/1998,CCI,CCI,75.54
CCK.N,Crown Holdings Inc,New York Stock Exchange,"12,951,201,649.88",17/03/1980,CCK,CCK,119.08
CSW.N,"CSW Industrials, Inc.",New York Stock Exchange,"5,263,285,105.61",16/09/2015,CSW,CSW,323.03
CSX.OQ,CSX Corporation,Nasdaq Stock Exchange Global Select Market,"95,884,101,703.92",03/11/1980,CSX,CSX,51.76
CTO.N,CTO Realty Growth Inc,New York Stock Exchange,"813,809,206.34",17/03/1980,CTO,CTO,21.71
CTS.N,CTS Corp,New York Stock Exchange,"1,628,274,238.90",17/03/1980,CTS,CTS,57.02
CUBE.N,CubeSmart,New York Stock Exchange,"9,110,064,756.38",22/10/2004,CUBE,CUBE,40.46
CFR.N,Cullen/Frost Bankers Inc,New York Stock Exchange,"10,147,032,126.95",14/08/1997,CFR,CFR,163.27
CPIX.OQ,Cumberland Pharmaceuticals Inc,Nasdaq Stock Exchange Global Select Market,"134,398,469.79",11/08/2009,CPIX,CPIX,8.97
CMI.N,Cummins Inc,New York Stock Exchange,"79,589,346,514.18",10/09/1964,CMI,CMI,578.14
CW.N,Curtiss-Wright Corporation,New York Stock Exchange,"22,879,410,680.24",17/03/1980,CW,CW,619.46
CUBI.N,"Customers Bancorp, Inc.",New York Stock Exchange,"2,653,379,573.46",16/05/2013,CUBI,CUBI,78.54
CVBF.OQ,CVB Financial Corp,Nasdaq Stock Exchange Global Select Market,"3,942,342,544.00",04/04/1983,CVBF,CVBF,22.40
CVI.N,CVR Energy Inc,New York Stock Exchange,"4,024,239,877.97",23/10/2007,CVI,CVI,40.03
UAN.N,CVR Partners LP,New York Stock Exchange,"1,334,205,278.51",08/04/2011,UAN,UAN,126.28
CVS.N,CVS Health Corporation,New York Stock Exchange,"120,632,485,204.08",01/10/1952,CVS,CVS,94.32
CYTK.OQ,"Cytokinetics, Incorporated",Nasdaq Stock Exchange Global Select Market,"11,010,654,705.60",29/04/2004,CYTK,CYTK,79.20
CTMX.OQ,"CytomX Therapeutics, Inc.",Nasdaq Stock Exchange Global Select Market,"723,425,622.88",08/10/2015,CTMX,CTMX,3.32
DHI.N,"D.R. Horton, Inc.",New York Stock Exchange,"41,745,414,099.75",05/06/1992,DHI,DHI,149.25
DAKT.OQ,Daktronics Inc,Nasdaq Stock Exchange Global Select Market,"942,446,665.26",10/02/1994,DAKT,DAKT,19.51
DAN.N,Dana Inc,New York Stock Exchange,"3,235,906,504.32",02/01/2008,DAN,DAN,30.08
DHR.N,Danaher Corporation,New York Stock Exchange,"151,395,076,589.44",10/12/1969,DHR,DHR,215.36
DAC.N,Danaos Corporation,New York Stock Exchange,"2,690,123,131.26",06/10/2006,DAC,DAC,147.78
DQ.N,Daqo New Energy Corp,New York Stock Exchange,"914,846,172.24",07/10/2010,DQ,DQ,13.52
DRI.N,Darden Restaurants Inc,New York Stock Exchange,"24,844,071,630.36",09/05/1995,DRI,DRI,218.81
DAR.N,Darling Ingredients Inc.,New York Stock Exchange,"9,862,682,250.00",12/09/1997,DAR,DAR,62.50
DCH.N,Dauch Corp,New York Stock Exchange,"1,520,669,452.80",29/01/1999,DCH,DCH,6.40
PLAY.OQ,"Dave & Buster's Entertainment, Inc.",Nasdaq Stock Exchange Global Select Market,"343,016,522.84",10/10/2014,PLAY,PLAY,9.86
DVA.N,DaVita Inc,New York Stock Exchange,"11,487,190,000.00",31/10/1995,DVA,DVA,180.05
DWSN.OQ,Dawson Geophysical Co,Nasdaq Stock Exchange Global Select Market,"103,104,651.76",27/10/1993,DWSN,DWSN,3.32
DECK.N,Deckers Outdoor Corporation,New York Stock Exchange,"12,184,190,745.79",01/10/1993,DECK,DECK,89.47
DE.N,Deere & Co,New York Stock Exchange,"171,286,093,659.50",29/06/1933,DE,DE,634.54
DFTX.OQ,Definium Therapeutics Inc,Nasdaq Stock Exchange Global Select Market,"5,881,241,401.50",04/05/2015,DFTX,DFTX,43.77
DMC.N,Del Monte Corporation,New York Stock Exchange,"1,486,991,715.72",27/10/1997,DMC,DMC,31.54
DKL.N,"Delek Logistics Partners, LP",New York Stock Exchange,"3,160,934,391.69",02/11/2012,DKL,DKL,54.69
DK.N,Delek US Holdings Inc,New York Stock Exchange,"4,337,687,206.16",04/05/2006,DK,DK,70.84
DAL.N,"Delta Air Lines, Inc.",New York Stock Exchange,"54,635,321,332.40",26/04/2007,DAL,DAL,83.08
DLX.N,Deluxe Corporation,New York Stock Exchange,"1,083,125,569.80",22/05/1981,DLX,DLX,23.62
XRAY.OQ,DENTSPLY SIRONA Inc.,Nasdaq Stock Exchange Global Select Market,"2,178,937,864.68",12/08/1987,XRAY,XRAY,10.93
DBI.N,Designer Brands Inc.,New York Stock Exchange,"290,444,891.88",29/06/2005,DBI,DBI,5.72
DVN.N,Devon Energy Corporation,New York Stock Exchange,"51,513,000,000.00",22/07/1985,DVN,DVN,46.83
DXCM.OQ,Dexcom Inc,Nasdaq Stock Exchange Global Select Market,"33,570,013,654.40",14/04/2005,DXCM,DXCM,88.96
DHX.N,DHI Group Inc,New York Stock Exchange,"193,237,645.50",18/07/2007,DHX,DHX,4.45
DHT.N,"DHT Holdings, Inc.",New York Stock Exchange,"2,953,835,697.36",17/07/2012,DHT,DHT,18.32
FANG.OQ,"Diamondback Energy, Inc.",Nasdaq Stock Exchange Global Select Market,"55,960,066,703.52",17/10/2012,FANG,FANG,199.84
DRH.OQ,Diamondrock Hospitality Co,Nasdaq Stock Exchange Global Select Market,"2,582,123,694.22",26/05/2005,DRH,DRH,12.62
DSX.N,Diana Shipping Inc,New York Stock Exchange,"332,184,624.39",18/03/2005,DSX,DSX,2.67
DKS.N,"DICK'S Sporting Goods, Inc.",New York Stock Exchange,"11,604,898,947.42",16/10/2002,DKS,DKS,129.66
DBD.N,Diebold Nixdorf Inc,New York Stock Exchange,"2,300,899,734.64",17/03/1980,DBD,DBD,67.78
DGII.OQ,Digi International Inc.,Nasdaq Stock Exchange Global Select Market,"2,887,093,197.84",06/10/1989,DGII,DGII,76.08
DMRC.OQ,Digimarc Corporation,Nasdaq Stock Exchange Global Select Market,"133,053,947.68",17/10/2008,DMRC,DMRC,5.92
DLR.N,"Digital Realty Trust, Inc.",New York Stock Exchange,"71,762,283,763.61",03/11/2004,DLR,DLR,193.43
DBRG.N,DigitalBridge Group Inc,New York Stock Exchange,"2,994,299,637.57",27/06/2014,DBRG,DBRG,15.97
DDS.N,"Dillard's, Inc.",New York Stock Exchange,"9,872,274,004.55",22/05/1981,DDS,DDS,632.05
DCOM.N,"Dime Community Bancshares, Inc.",New York Stock Exchange,"1,783,926,438.00",13/09/1988,DCOM,DCOM,40.40
DIN.N,"Dine Brands Global, Inc.",New York Stock Exchange,"445,728,671.50",12/07/1991,DIN,DIN,35.21
DIOD.OQ,Diodes Incorporated,Nasdaq Stock Exchange Global Select Market,"4,169,521,370.70",17/03/1980,DIOD,DIOD,90.54
DSGR.OQ,"Distribution Solutions Group, Inc.",Nasdaq Stock Exchange Global Select Market,"1,610,151,239.82",23/04/1970,DSGR,DSGR,34.81
DHC.OQ,Diversified Healthcare Trust,Nasdaq Stock Exchange Global Select Market,"1,946,717,063.52",06/10/1999,DHC,DHC,8.04
BOOM.OQ,DMC Global Inc,Nasdaq Stock Exchange Global Select Market,"136,186,491.87",05/01/1989,BOOM,BOOM,6.63
DNOW.N,DNOW Inc.,New York Stock Exchange,"2,890,766,397.09",20/05/2014,DNOW,DNOW,15.99
DNP.N,DNP Select Income Fund Inc,New York Stock Exchange,"4,170,616,791.15",22/01/1987,DNP,DNP,11.01
DLB.N,"Dolby Laboratories, Inc.",New York Stock Exchange,"6,083,788,235.25",17/02/2005,DLB,DLB,64.95
DG.N,Dollar General Corp,New York Stock Exchange,"27,083,628,518.66",13/11/2009,DG,DG,122.78
DLTR.OQ,Dollar Tree Inc,Nasdaq Stock Exchange Global Select Market,"25,401,637,041.84",06/03/1995,DLTR,DLTR,132.18
D.N,"Dominion Energy, Inc.",New York Stock Exchange,"58,849,081,247.59",20/05/1983,D,D,66.91
DPZ.OQ,"Domino's Pizza, Inc.",Nasdaq Stock Exchange Global Select Market,"11,398,642,611.60",13/07/2004,DPZ,DPZ,344.56
DCI.N,"Donaldson Company, Inc.",New York Stock Exchange,"11,039,368,973.44",17/05/1980,DCI,DCI,95.24
DGICA.OQ,Donegal Group Inc,Nasdaq Stock Exchange Global Select Market,"739,873,619.70",29/10/1986,DGICA,DGICA,19.10
DMLP.OQ,"Dorchester Minerals, L.P.",Nasdaq Stock Exchange Global Select Market,"1,409,905,237.76",03/02/2003,DMLP,DMLP,28.72
LPG.N,Dorian LPG Ltd.,New York Stock Exchange,"2,049,290,419.90",08/05/2014,LPG,LPG,49.28
DORM.OQ,"Dorman Products, Inc.",Nasdaq Stock Exchange Global Select Market,"3,840,024,969.20",12/03/1991,DORM,DORM,129.40
DSL.N,DoubleLine Income Solutions Fund,New York Stock Exchange,"1,219,036,450.80",26/04/2013,DSL,DSL,10.64
DBL.N,Doubleline Opportunistic Credit Fund,New York Stock Exchange,"278,981,904.08",27/01/2012,DBL,DBL,14.11
PLOW.N,Douglas Dynamics Inc,New York Stock Exchange,"961,620,506.82",05/05/2010,PLOW,PLOW,42.16
DEI.N,"Douglas Emmett, Inc.",New York Stock Exchange,"2,003,123,793.32",24/10/2006,DEI,DEI,11.96
DOV.N,Dover Corp,New York Stock Exchange,"27,563,654,848.50",03/12/1956,DOV,DOV,204.66
DTE.N,DTE Energy Company,New York Stock Exchange,"28,655,807,981.99",16/11/1949,DTE,DTE,137.71
DTF.N,DTF Tax-Free Income 2028 Term Fund Inc,New York Stock Exchange,"81,332,090.19",22/11/1991,DTF,DTF,11.57
DCO.N,Ducommun Incorporated,New York Stock Exchange,"2,798,895,035.44",17/03/1980,DCO,DCO,185.36
DPG.N,Duff & Phelps Utility and Infrastructure Fund Inc,New York Stock Exchange,"528,437,413.32",29/06/2011,DPG,DPG,14.68
DUK.N,Duke Energy Corp,New York Stock Exchange,"95,037,900,304.77",03/07/2012,DUK,DUK,121.89
DLTH.OQ,Duluth Holdings Inc,Nasdaq Stock Exchange Global Select Market,"141,747,724.83",20/11/2015,DLTH,DLTH,3.73
KTF.N,DWS Municipal Income Trust,New York Stock Exchange,"345,208,476.29",21/10/1988,KTF,KTF,8.79
DXC.N,DXC Technology Company,New York Stock Exchange,"1,685,665,168.95",26/10/1968,DXC,DXC,10.55
DXPE.OQ,"DXP Enterprises, Inc.",Nasdaq Stock Exchange Global Select Market,"2,960,671,838.40",27/12/1996,DXPE,DXPE,190.80
DY.N,Dycom Industries Inc,New York Stock Exchange,"9,337,079,674.05",24/09/1990,DY,DY,310.91
DLNG.N,Dynagas LNG Partners LP,New York Stock Exchange,"196,473,101.58",13/11/2013,DLNG,DLNG,3.78
DX.N,"Dynex Capital, Inc.",New York Stock Exchange,"4,475,714,412.40",10/02/1988,DX,DX,12.88
SSP.OQ,E W Scripps Co,Nasdaq Stock Exchange Global Select Market,"291,907,321.65",28/06/1988,SSP,SSP,3.15
EXP.N,Eagle Materials Inc,New York Stock Exchange,"6,137,519,026.00",12/04/1994,EXP,EXP,200.08
ECC.N,Eagle Point Credit Co,New York Stock Exchange,"510,761,272.32",08/10/2014,ECC,ECC,3.84
EWBC.OQ,"East West Bancorp, Inc.",Nasdaq Stock Exchange Global Select Market,"17,870,456,378.08",08/02/1999,EWBC,EWBC,130.43
DEA.N,Easterly Government Properties Inc,New York Stock Exchange,"1,171,683,236.92",06/02/2015,DEA,DEA,24.76
EGP.N,"EastGroup Properties, Inc.",New York Stock Exchange,"10,796,606,587.26",17/03/1980,EGP,EGP,200.78
EMN.N,Eastman Chemical Co,New York Stock Exchange,"8,341,545,313.53",14/12/1993,EMN,EMN,72.93
KODK.N,Eastman Kodak Co,New York Stock Exchange,"932,987,000.00",19/09/2013,KODK,KODK,9.47
ETN.N,Eaton Corporation PLC,New York Stock Exchange,"162,910,496,000.00",03/12/2012,ETN,ETN,419.44
EOI.N,Eaton Vance Enhanced Equity Income Fund,New York Stock Exchange,"819,624,942.52",27/10/2004,EOI,EOI,19.99
EOS.N,Eaton Vance Enhanced Equity Income Fund II,New York Stock Exchange,"1,145,761,162.35",27/01/2005,EOS,EOS,21.49
EFT.N,Eaton Vance Floating-Rate Income Trust,New York Stock Exchange,"282,524,756.54",25/06/2004,EFT,EFT,10.63
ETX.N,Eaton Vance Municipal Income 2028 Term Trust,New York Stock Exchange,"197,763,543.45",26/03/2013,ETX,ETX,18.15
EVN.N,Eaton Vance Municipal Income Trust,New York Stock Exchange,"431,167,060.80",27/01/1999,EVN,EVN,10.80
EOT.N,Eaton Vance National Municipal Opportunities Trust,New York Stock Exchange,"269,842,385.67",27/05/2009,EOT,EOT,17.27
ETJ.N,Eaton Vance Risk-Managed Diversified Equity Income Fund,New York Stock Exchange,"568,027,082.28",27/07/2007,ETJ,ETJ,8.44
EFR.N,Eaton Vance Senior Floating-Rate Trust,New York Stock Exchange,"312,655,114.62",25/11/2003,EFR,EFR,10.59
EVF.N,Eaton Vance Senior Income Trust,New York Stock Exchange,"90,124,633.44",28/10/1998,EVF,EVF,4.96
EVG.N,Eaton Vance Short Duration Diversified Income Fund,New York Stock Exchange,"143,719,756.08",24/02/2005,EVG,EVG,10.68
EVT.N,Eaton Vance Tax-Advantaged Dividend Income Fund,New York Stock Exchange,"2,165,467,817.10",26/09/2003,EVT,EVT,29.05
ETG.N,Eaton Vance Tax-Advantaged Global Dividend Income Fund,New York Stock Exchange,"1,846,990,173.60",28/01/2004,ETG,ETG,24.20
ETO.N,Eaton Vance Tax-Advantaged Global Dividend Opportunities Fund,New York Stock Exchange,"518,520,686.32",28/04/2004,ETO,ETO,31.64
ETB.N,Eaton Vance Tax-Managed Buy-Write Income Fund,New York Stock Exchange,"458,833,048.30",27/04/2005,ETB,ETB,15.62
ETV.N,Eaton Vance Tax-Managed Buy-Write Opportunities Fund,New York Stock Exchange,"1,772,334,342.24",28/06/2005,ETV,ETV,15.18
ETY.N,Eaton Vance Tax-Managed Diversified Equity Income Fund,New York Stock Exchange,"2,300,011,979.52",28/11/2006,ETY,ETY,14.44
ETW.N,Eaton Vance Tax-Managed Global Buy-Write Opportunities Fund,New York Stock Exchange,"1,070,774,169.96",28/09/2005,ETW,ETW,9.86
