Identifier (RIC),Company Name,Exchange Name,Market Cap,IPO Date,Ticker Symbol,Trading Symbol,"Price Close
(USD)"
AMD.OQ,"Advanced Micro Devices, Inc.",Nasdaq Stock Exchange Global Select Market,"785,106,221,949.06",15/10/1979,AMD,AMD,480.93
AVK.N,Advent Convertible and Income Fund,New York Stock Exchange,"554,066,749.75",30/04/2003,AVK,AVK,12.55
ACM.N,AECOM,New York Stock Exchange,"8,379,424,231.75",10/05/2007,ACM,ACM,65.11
AER.N,AerCap Holdings N.V.,New York Stock Exchange,"23,138,256,638.95",20/11/2006,AER,AER,149.83
AVAV.OQ,"AeroVironment, Inc.",Nasdaq Stock Exchange Global Select Market,"7,464,825,691.20",23/01/2007,AVAV,AVAV,146.88
AMG.N,"Affiliated Managers Group, Inc.",New York Stock Exchange,"9,583,432,570.47",21/11/1997,AMG,AMG,370.59
AFL.N,Aflac Incorporated,New York Stock Exchange,"58,882,770,350.10",15/06/1974,AFL,AFL,117.45
AGCO.N,AGCO Corporation,New York Stock Exchange,"7,812,739,687.24",16/06/1992,AGCO,AGCO,111.56
A.N,Agilent Technologies Inc,New York Stock Exchange,"43,799,545,875.52",18/11/1999,A,A,155.08
AGYS.OQ,Agilysys Inc,Nasdaq Stock Exchange Global Select Market,"3,232,665,362.68",08/01/1971,AGYS,AGYS,114.61
AGIO.OQ,"Agios Pharmaceuticals, Inc.",Nasdaq Stock Exchange Global Select Market,"2,029,266,969.18",24/07/2013,AGIO,AGIO,33.99
AGNC.OQ,AGNC Investment Corp.,Nasdaq Stock Exchange Global Select Market,"12,815,054,442.07",15/05/2008,AGNC,AGNC,10.81
ADC.N,Agree Realty Corporation,New York Stock Exchange,"9,163,023,767.70",15/04/1994,ADC,ADC,73.67
AHRT.N,"AH Realty Trust, Inc",New York Stock Exchange,"667,189,095.76",05/08/2013,AHRT,AHRT,6.71
AIFU.OQ,AIFU Inc.,Nasdaq Stock Exchange Global Select Market,"143,955,706.86",31/10/2007,AIFU,AIFU,23.31
APD.N,"Air Products and Chemicals, Inc.",New York Stock Exchange,"68,288,744,629.80",13/11/1961,APD,APD,306.66
AKAM.OQ,Akamai Technologies Inc,Nasdaq Stock Exchange Global Select Market,"15,530,016,768.54",29/10/1999,AKAM,AKAM,108.06
ALG.N,Alamo Group Inc.,New York Stock Exchange,"2,005,653,322.35",19/03/1993,ALG,ALG,164.79
ALRM.OQ,"Alarm.com Holdings, Inc.",Nasdaq Stock Exchange Global Select Market,"2,783,906,829.88",26/06/2015,ALRM,ALRM,56.71
ALK.N,Alaska Air Group Inc,New York Stock Exchange,"4,798,934,160.00",23/02/1983,ALK,ALK,43.00
AIN.N,Albany International Corp,New York Stock Exchange,"1,674,464,000.00",30/09/1987,AIN,AIN,58.96
ALB.N,Albemarle Corp,New York Stock Exchange,"15,872,860,217.07",22/02/1994,ALB,ALB,134.51
ALX.N,Alexander's Inc,New York Stock Exchange,"1,388,365,713.60",17/03/1980,ALX,ALX,271.84
ARE.N,"Alexandria Real Estate Equities, Inc",New York Stock Exchange,"9,229,893,782.90",28/05/1997,ARE,ARE,52.97
BABA.N,Alibaba Group Holding Limited,New York Stock Exchange,"297,852,277,785.45",19/09/2014,BABA,BABA,119.83
ALCO.OQ,Alico Inc,Nasdaq Stock Exchange Global Select Market,"302,677,288.80",17/03/1980,ALCO,ALCO,40.80
ALGN.OQ,"Align Technology, Inc.",Nasdaq Stock Exchange Global Select Market,"11,305,282,047.28",26/01/2001,ALGN,ALGN,159.14
ALKS.OQ,Alkermes Plc,Nasdaq Stock Exchange Global Select Market,"8,247,242,451.52",16/07/1991,ALKS,ALKS,49.16
ALGT.OQ,Allegiant Travel Company,Nasdaq Stock Exchange Global Select Market,"2,258,098,563.00",08/12/2006,ALGT,ALGT,82.60
ALLE.N,Allegion PLC,New York Stock Exchange,"13,629,696,060.08",18/11/2013,ALLE,ALLE,160.28
ARLP.OQ,Alliance Resource Partners LP,Nasdaq Stock Exchange Global Select Market,"3,369,573,998.19",17/08/1999,ARLP,ARLP,26.19
AWF.N,AllianceBernstein Global High Income Fund Inc,New York Stock Exchange,"875,231,221.55",27/07/1993,AWF,AWF,10.15
AB.N,AllianceBernstein Holding LP,New York Stock Exchange,"3,433,506,820.15",15/04/1988,AB,AB,36.85
AFB.N,Alliancebernstein National Municipal Income Fund Inc,New York Stock Exchange,"313,750,976.44",28/01/2002,AFB,AFB,10.92
LNT.OQ,Alliant Energy Corp,Nasdaq Stock Exchange Global Select Market,"17,869,901,455.08",30/03/1976,LNT,LNT,68.92
ALSN.N,"Allison Transmission Holdings, Inc.",New York Stock Exchange,"10,634,399,733.64",15/03/2012,ALSN,ALSN,128.78
ALLT.OQ,Allot Ltd,Nasdaq Stock Exchange Global Select Market,"374,261,707.35",16/11/2006,ALLT,ALLT,7.65
EOD.N,Allspring Global Dividend Opportunity Fund,New York Stock Exchange,"286,818,987.24",28/03/2007,EOD,EOD,6.66
ALL.N,Allstate Corp,New York Stock Exchange,"66,200,739,889.50",03/06/1993,ALL,ALL,261.81
ALLY.N,Ally Financial Inc,New York Stock Exchange,"12,940,654,940.22",10/04/2014,ALLY,ALLY,42.54
ALNY.OQ,"Alnylam Pharmaceuticals, Inc.",Nasdaq Stock Exchange Global Select Market,"31,980,379,202.00",28/05/2004,ALNY,ALNY,239.00
AOSL.OQ,Alpha and Omega Semiconductor Limited,Nasdaq Stock Exchange Global Select Market,"792,628,600.00",29/04/2010,AOSL,AOSL,26.20
GOOGL.OQ,Alphabet Inc.,Nasdaq Stock Exchange Global Select Market,"4,166,631,700,000.00",19/08/2004,GOOGL,GOOGL,342.00
ATEC.OQ,"Alphatec Holdings, Inc.",Nasdaq Stock Exchange Global Select Market,"1,454,929,135.92",02/06/2006,ATEC,ATEC,9.42
ASPS.OQ,Altisource Portfolio Solutions S.A.,Nasdaq Stock Exchange Global Select Market,"64,980,972.14",31/07/2009,ASPS,ASPS,5.77
MO.N,Altria Group Inc,New York Stock Exchange,"115,412,700,165.12",15/03/1923,MO,MO,67.67
AMZN.OQ,Amazon.com Inc,Nasdaq Stock Exchange Global Select Market,"2,807,461,696,520.16",15/05/1997,AMZN,AMZN,260.28
AMBA.OQ,"Ambarella, Inc.",Nasdaq Stock Exchange Global Select Market,"3,054,980,403.40",10/10/2012,AMBA,AMBA,69.64
