date,SPY,EFA,IJS,EEM,AGG
2014-12-31,170.68096923828125,43.96853256225586,49.62794876098633,30.762189865112305,81.48993682861328
2015-01-02,170.589599609375,43.7806282043457,49.26184844970703,30.355051040649414,81.7193832397461
2015-01-05,167.5088348388672,42.74717712402344,48.39923858642578,29.81481170654297,81.89691162109375
2015-01-06,165.93104553222656,42.26298522949219,47.498741149902344,29.689538955688477,82.104217529296875
2015-01-07,167.99876403808594,42.73272705078125,47.86902618408203,30.331565856933594,82.08940124511719
2015-01-08,170.97991943359375,43.31087875366211,48.630672454833984,30.848310470581055,81.963531494140625
2015-01-09,169.60972595214844,43.10130310058594,48.071014404296875,30.746532440185547,82.16331481933594
2015-01-12,168.28106689453125,43.0001220703125,47.75543212890625,30.49597930908203,82.2299575805664
2015-01-13,167.80776977539062,43.21692657470703,47.936370849609375,30.762189865112305,82.25215911865234
2015-01-14,166.79469299316406,43.094078063964844,47.688087463378906,30.589941024780273,82.45196533203125
2015-01-15,165.26673889160156,43.36870193481445,46.930686950683594,30.660411834716797,82.82939147949219
2015-01-16,167.43408203125,43.932395935058594,47.57870101928711,30.918779373168945,82.5112075805664
2015-01-20,167.79116821289062,44.08415603637695,47.31781005859375,30.871807098388672,82.651763916015625
2015-01-21,168.63819885253906,44.43105697631836,47.26730728149414,31.55297088623047,82.50379180908203
2015-01-22,171.14598083496094,44.597267150878906,48.18464279174805,32.15583801269531,82.4593505859375
2015-01-23,170.20762634277344,44.344329833984375,48.06681442260742,31.913114547729492,82.66654205322266
2015-01-26,170.6062469482422,44.95138168334961,48.50444030761719,31.928781509399414,82.62960052490234
2015-01-27,168.35586547851562,45.01643371582031,48.21409606933594,31.756542205810547,82.585174560546875
2015-01-28,166.19677734375,44.344329833984375,47.347267150878906,31.41203498840332,82.932952880859375
2015-01-29,167.73301696777344,44.95138168334961,47.936370849609375,31.41203498840332,82.86637115478516
2015-01-30,165.6238250732422,44.2431526184082,46.989585876464844,30.550792694091797,83.162384033203125
2015-02-02,167.67494201660156,44.77794647216797,47.6334114074707,31.098852157592773,83.1594467163086
2015-02-03,170.0997314453125,45.493404388427734,48.64329147338867,31.686065673828125,82.840728759765625
2015-02-04,169.45196533203125,45.117610931396484,48.390804290771484,31.52947235107422,82.966705322265625
2015-02-05,171.16253662109375,45.73912048339844,49.11457443237305,31.717384338378906,82.79621887207031
2015-02-06,170.68930053710938,45.16819763183594,49.043052673339844,31.177156448364258,82.31446075439453
2015-02-09,169.92529296875,44.95138168334961,48.655921936035156,31.13018035888672,82.29964447021484
2015-02-10,171.73556518554688,45.36333084106445,48.75690841674805,31.051876068115234,82.21070098876953
2015-02-11,171.83522033691406,45.117610931396484,48.66433334350586,30.824817657470703,82.1737060546875
2015-02-12,173.4877471923828,45.81862258911133,49.173492431640625,31.482501983642578,82.18846130371094
2015-02-13,174.20188903808594,46.12215042114258,49.451210021972656,31.8426570892334,82.0921630859375
2015-02-17,174.4759063720703,46.23055648803711,49.48908615112305,31.77219009399414,81.75860595703125
2015-02-18,174.4925079345703,46.50517654418945,49.48908615112305,31.764366149902344,81.98834228515625
2015-02-19,174.36793518066406,46.562992095947266,49.4764518737793,31.631263732910156,81.9216537475586
2015-02-20,175.4142608642578,46.99660110473633,49.50592041015625,31.8426570892334,81.936492919921875
2015-02-23,175.38934326171875,46.830387115478516,49.501705169677734,31.52164649963379,82.08470916748047
2015-02-24,175.8875732421875,47.119468688964844,49.70368576049805,31.97576332092285,82.44792938232422
2015-02-25,175.7382049560547,47.15559768676758,49.644775390625,31.913114547729492,82.50719451904297
2015-02-26,175.53053283691406,47.025508880615234,49.90987014770508,31.920957565307617,82.21070098876953
2015-02-27,174.93258666992188,47.04719161987305,49.74154281616211,31.897470474243164,82.41825866699219
2015-03-02,176.03704833984375,47.119468688964844,50.031898498535156,31.850492477416992,81.99951934814453
2015-03-03,175.3145751953125,46.830387115478516,49.85097122192383,31.607769012451172,81.89556884765625
2015-03-04,174.5755615234375,46.642494201660156,49.54798889160156,31.263269424438477,81.94011688232422
