date,GSPC,F,MSFT,ORCL,LLY,PG,IRX
2001-12-01,1148.0799560546875,6.592257022857666,20.14488410949707,10.965063095092773,40.02902603149414,20.31270980834961,1.6699999570846558
2002-01-01,1130.199951171875,6.460348606109619,19.37254524230957,13.70433521270752,38.27579116821289,21.067806243896484,1.7200000286102295
2002-02-01,1106.72998046875,6.283005237579346,17.739673614501953,13.196189880371094,38.755462646484375,21.869970321655273,1.7200000286102295
2002-03-01,1147.3900146484375,6.962820053100586,18.338695526123047,10.163125038146973,38.99601364135742,23.236995697021484,1.7400000095367432
2002-04-01,1076.9200439453125,6.755917549133301,15.890901565551758,7.971706867218018,33.80167007446289,23.378265380859375,1.7300000190734863
2002-05-01,1067.1400146484375,7.499495983123779,15.480403900146484,6.28843355178833,33.270164489746094,23.19437599182129,1.7050000429153442
2002-06-01,989.82000732421875,6.798408508300781,16.632843017578125,7.519130229949951,29.002120971679688,23.309213638305664,1.659000039100647
2002-07-01,911.6199951171875,5.767101764678955,14.589461326599121,7.9478840827941895,30.040830612182617,23.346105575561523,1.6649999618530273
2002-08-01,916.07000732421875,5.039257049560547,14.923946380615234,7.614405155181885,30.010988235473633,23.256914138793945,1.6449999809265137
2002-09-01,815.280029296875,4.195812702178955,13.300189971923828,6.240795135498047,28.609947204589844,23.44841766357422,1.5269999504089355
2002-10-01,885.760009765625,3.6660032272338867,16.25882911682129,8.0908050537109375,28.69268798828125,23.31012535095215,1.4170000553131104
2002-11-01,936.30999755859375,4.931338787078857,17.538976669311523,9.647031784057617,35.48930358886719,22.277055740356445,1.2020000219345093
2002-12-01,879.82000732421875,4.030003070831299,15.720610618591309,8.575140953063965,32.99518585205078,22.648643493652344,1.1820000410079956
2003-01-01,855.70001220703125,3.9893558025360107,14.431352615356445,9.551752090454102,31.30124855041504,22.659149169921875,1.1480000019073486
2003-02-01,841.1500244140625,3.643407106399536,14.459446907043457,9.496172904968262,29.553987503051758,21.676738739013672,1.1749999523162842
