date,SPY,EFA,IJS,EEM,AGG
2010-12-31,95.68986511230469,36.450225830078125,28.3002872467041,34.186866760253906,68.78790283203125
2011-01-03,96.67912292480469,36.7507209777832,28.890771865844727,34.5169677734375,68.709869384765625
2011-01-04,96.62580871582031,36.638031005859375,28.34752655029297,34.67485046386719,68.72937774658203
2011-01-05,97.12805938720703,36.481510162353516,28.587657928466797,34.58873748779297,68.3975830078125
2011-01-06,96.93785858154297,36.06203842163086,28.41838264465332,34.22275161743164,68.41058349609375
2011-01-07,96.7475814819336,35.91804122924805,28.209749221801758,33.907005310058594,68.631805419921875
2011-01-10,96.62580871582031,35.855445861816406,28.245162963867188,33.55537414550781,68.81391143798828
2011-01-11,96.96827697753906,36.099605560302734,28.339651107788086,33.91417694091797,68.6773452758789
2011-01-12,97.8433609008789,36.89472198486328,28.646696090698242,34.59590530395508,68.67083740234375
2011-01-13,97.683563232421875,36.99489974975586,28.646696090698242,34.29450607299805,68.91797637939453
2011-01-14,98.39124298095703,37.22028732299805,28.95376205444336,34.394989013671875,68.77490234375
2011-01-18,98.55864715576172,37.46445846557617,28.969511032104492,34.34474563598633,68.72937774658203
2011-01-19,97.59223175048828,37.207767486572266,28.316038131713867,34.07923126220703,68.74234771728516
2011-01-20,97.462890625,36.888465881347656,28.095582962036133,33.70607376098633,68.48219299316406
2011-01-21,97.683563232421875,37.08881378173828,27.969615936279297,33.35443878173828,68.69681549072266
2011-01-24,98.2390365600586,37.48323440551758,28.229412078857422,33.61277770996094,68.65782928466797
2011-01-25,98.29231262207031,37.40810775756836,28.33177947998047,33.4118537902832,68.87248992919922
2011-01-26,98.67279815673828,37.646026611328125,28.792360305786133,33.70607376098633,68.644775390625
2011-01-27,98.91632080078125,37.733665466308594,28.906522750854492,33.59125900268555,68.76187896728516
2011-01-28,97.188934326171875,36.89472198486328,28.1428165435791,32.529197692871094,68.85943603515625
2011-01-31,97.919464111328125,37.214027404785156,28.233360290527344,32.8736457824707,68.72937774658203
2011-02-01,99.48700714111328,38.09678649902344,28.863229751586914,33.67019271850586,68.5832290649414
2011-02-02,99.29676818847656,38.06549072265625,28.72544288635254,33.41902542114258,68.50494384765625
2011-02-03,99.517486572265625,38.07175064086914,28.768754959106445,33.37596893310547,68.2504653930664
2011-02-04,99.79901885986328,38.05923080444336,28.768754959106445,33.3687858581543,68.0221176147461
2011-02-07,100.42300415039062,38.178184509277344,29.11121940612793,33.4118537902832,68.0482177734375
2011-02-08,100.87956237792969,38.428619384765625,29.276565551757812,33.426204681396484,67.85248565673828
2011-02-09,100.65129089355469,38.3159294128418,29.126972198486328,32.65837097167969,67.97652435302734
2011-02-10,100.68931579589844,38.06549072265625,29.193893432617188,32.34979248046875,67.7807388305664
2011-02-11,101.29049682617188,38.08427810668945,29.4891414642334,32.744476318359375,68.0482177734375
