date,SPY,EFA,IJS,EEM,AGG
2014-12-31,169.7786865234375,43.28358840942383,49.343021392822266,30.603126525878906,80.14167022705078
2015-01-02,169.68783569335938,43.0986213684082,48.97903823852539,30.19808578491211,80.36729431152344
2015-01-05,166.6233367919922,42.08127975463867,48.12135696411133,29.660646438598633,80.54193878173828
2015-01-06,165.0539093017578,41.6046028137207,47.22604751586914,29.53601837158203,80.7457275390625
2015-01-07,167.11070251464844,42.067039489746094,47.59421920776367,30.174715042114258,80.73113250732422
2015-01-08,170.0760498046875,42.63618469238281,48.351463317871094,30.688800811767578,80.60743713378906
2015-01-09,168.713134765625,42.42987060546875,47.7950439453125,30.587543487548828,80.80394744873047
2015-01-12,167.3915557861328,42.33026885986328,47.481231689453125,30.33829689025879,80.86940002441406
2015-01-13,166.92068481445312,42.543697357177734,47.661136627197266,30.603126525878906,80.89128875732422
2015-01-14,165.91297912597656,42.42274856567383,47.414310455322266,30.431760787963867,81.08775329589844
2015-01-15,164.39315795898438,42.69310760498047,46.661231994628906,30.501861572265625,81.45890045166016
2015-01-16,166.5489959716797,43.248023986816406,47.30553436279297,30.758907318115234,81.14595794677734
2015-01-20,166.90415954589844,43.39741516113281,47.0461311340332,30.712177276611328,81.28428649902344
2015-01-21,167.74671936035156,43.7389030456543,46.995933532714844,31.389806747436523,81.13874053955078
2015-01-22,170.2412872314453,43.90254592895508,47.907989501953125,31.98956871032715,81.095001220703125
2015-01-23,169.30787658691406,43.653526306152344,47.790855407714844,31.74810791015625,81.29878234863281
2015-01-26,169.70436096191406,44.251136779785156,48.22595977783203,31.763687133789062,81.26239776611328
2015-01-27,167.4658966064453,44.315155029296875,47.93728256225586,31.592330932617188,81.21874237060547
2015-01-28,165.31829833984375,43.653526306152344,47.07542037963867,31.24960708618164,81.56080627441406
2015-01-29,166.8463592529297,44.251136779785156,47.661136627197266,31.24960708618164,81.4953384399414
2015-01-30,164.74830627441406,43.553932189941406,46.71981430053711,30.392820358276367,81.786407470703125
2015-02-02,166.78851318359375,44.08039093017578,47.35990905761719,30.93804359436035,81.78349304199219
2015-02-03,169.2004852294922,44.78471374511719,48.364013671875,31.52223014831543,81.47010040283203
2015-02-04,168.55616760253906,44.414772033691406,48.11298751831055,31.366453170776367,81.593994140625
2015-02-05,170.25779724121094,45.02660369873047,48.83259582519531,31.553377151489258,81.42631530761719
2015-02-06,169.78700256347656,44.46455383300781,48.7614860534668,31.01593780517578,80.952545166015625
2015-02-09,169.02708435058594,44.251136779785156,48.37656021118164,30.969200134277344,80.9379653930664
2015-02-10,170.82772827148438,44.656654357910156,48.47697067260742,30.891307830810547,80.85050201416016
2015-02-11,170.9268341064453,44.414772033691406,48.384944915771484,30.665430068969727,80.8140869140625
2015-02-12,172.57066345214844,45.104854583740234,48.89116668701172,31.319713592529297,80.8285903930664
2015-02-13,173.28097534179688,45.403663635253906,49.16728591918945,31.678010940551758,80.7338638305664
2015-02-17,173.55357360839844,45.5103759765625,49.20493698120117,31.60790252685547,80.405853271484375
2015-02-18,173.57008361816406,45.78071975708008,49.20493698120117,31.600116729736328,80.6318359375
2015-02-19,173.4461669921875,45.8376350402832,49.19240951538086,31.467695236206055,80.566253662109375
2015-02-20,174.48695373535156,46.264495849609375,49.22169494628906,31.678010940551758,80.58079528808594
2015-02-23,174.46218872070312,46.100860595703125,49.21751403808594,31.358646392822266,80.72660064697266
2015-02-24,174.957763671875,46.38542938232422,49.418312072753906,31.8104190826416,81.083740234375
2015-02-25,174.8091278076172,46.4210090637207,49.3597412109375,31.74810791015625,81.14205169677734
2015-02-26,174.6025848388672,46.29294967651367,49.623321533203125,31.75588607788086,80.85050201416016
2015-02-27,174.00791931152344,46.31429672241211,49.455970764160156,31.732528686523438,81.054534912109375
2015-03-02,175.10650634765625,46.38542938232422,49.74465560913086,31.685800552368164,80.64276123046875
2015-03-03,174.38787841796875,46.100860595703125,49.56475830078125,31.444334030151367,80.54058074951172
2015-03-04,173.65267944335938,45.9158935546875,49.26351547241211,31.101608276367188,80.58439636230469
2015-03-05,173.8426971435547,46.02260971069336,49.20077133178711,31.054893493652344,80.62089538574219
2015-03-06,171.39772033691406,45.396549224853516,48.57320785522461,30.579744338989258,80.0951919555664
2015-03-09,172.1080322265625,45.46769332885742,48.886993408203125,30.462919235229492,80.2997055053711
